,Datetime,Location,Power,Time,Date
1,2021-10-13T09:40:00,campus,22.8,09:40:00,2021-10-13
3,2021-10-13T09:50:00,campus,37.1,09:50:00,2021-10-13
5,2021-10-13T10:00:00,campus,45.3,10:00:00,2021-10-13
7,2021-10-13T10:10:00,campus,45.4,10:10:00,2021-10-13
9,2021-10-13T10:20:00,campus,45.9,10:20:00,2021-10-13
14,2021-10-13T10:30:00,campus,47.4,10:30:00,2021-10-13
24,2021-10-13T10:40:00,campus,48.0,10:40:00,2021-10-13
34,2021-10-13T10:50:00,campus,48.6,10:50:00,2021-10-13
44,2021-10-13T11:00:00,campus,48.2,11:00:00,2021-10-13
54,2021-10-13T11:10:00,campus,48.6,11:10:00,2021-10-13
64,2021-10-13T11:20:00,campus,48.7,11:20:00,2021-10-13
74,2021-10-13T11:30:00,campus,48.5,11:30:00,2021-10-13
84,2021-10-13T11:40:00,campus,48.0,11:40:00,2021-10-13
94,2021-10-13T11:50:00,campus,48.1,11:50:00,2021-10-13
104,2021-10-13T12:00:00,campus,48.4,12:00:00,2021-10-13
114,2021-10-13T12:10:00,campus,48.9,12:10:00,2021-10-13
124,2021-10-13T12:20:00,campus,49.0,12:20:00,2021-10-13
134,2021-10-13T12:30:00,campus,48.9,12:30:00,2021-10-13
144,2021-10-13T12:40:00,campus,48.7,12:40:00,2021-10-13
154,2021-10-13T12:50:00,campus,48.7,12:50:00,2021-10-13
164,2021-10-13T13:00:00,campus,48.8,13:00:00,2021-10-13
174,2021-10-13T13:10:00,campus,48.5,13:10:00,2021-10-13
184,2021-10-13T13:20:00,campus,48.4,13:20:00,2021-10-13
194,2021-10-13T13:30:00,campus,48.8,13:30:00,2021-10-13
204,2021-10-13T13:40:00,campus,49.7,13:40:00,2021-10-13
214,2021-10-13T13:50:00,campus,50.5,13:50:00,2021-10-13
224,2021-10-13T14:00:00,campus,50.5,14:00:00,2021-10-13
234,2021-10-13T14:10:00,campus,50.3,14:10:00,2021-10-13
244,2021-10-13T14:20:00,campus,50.4,14:20:00,2021-10-13
254,2021-10-13T14:30:00,campus,50.7,14:30:00,2021-10-13
264,2021-10-13T14:40:00,campus,50.7,14:40:00,2021-10-13
274,2021-10-13T14:50:00,campus,50.4,14:50:00,2021-10-13
284,2021-10-13T15:00:00,campus,50.3,15:00:00,2021-10-13
294,2021-10-13T15:10:00,campus,51.0,15:10:00,2021-10-13
304,2021-10-13T15:20:00,campus,51.1,15:20:00,2021-10-13
314,2021-10-13T15:30:00,campus,51.3,15:30:00,2021-10-13
324,2021-10-13T15:40:00,campus,50.8,15:40:00,2021-10-13
334,2021-10-13T15:50:00,campus,50.6,15:50:00,2021-10-13
344,2021-10-13T16:00:00,campus,50.4,16:00:00,2021-10-13
354,2021-10-13T16:10:00,campus,50.4,16:10:00,2021-10-13
364,2021-10-13T16:20:00,campus,50.7,16:20:00,2021-10-13
374,2021-10-13T16:30:00,campus,50.5,16:30:00,2021-10-13
384,2021-10-13T16:40:00,campus,50.4,16:40:00,2021-10-13
394,2021-10-13T16:50:00,campus,49.8,16:50:00,2021-10-13
404,2021-10-13T17:00:00,campus,50.1,17:00:00,2021-10-13
414,2021-10-13T17:10:00,campus,50.1,17:10:00,2021-10-13
424,2021-10-13T17:20:00,campus,50.4,17:20:00,2021-10-13
434,2021-10-13T17:30:00,campus,50.1,17:30:00,2021-10-13
444,2021-10-13T17:40:00,campus,49.8,17:40:00,2021-10-13
454,2021-10-13T17:50:00,campus,49.4,17:50:00,2021-10-13
464,2021-10-13T18:00:00,campus,49.7,18:00:00,2021-10-13
474,2021-10-13T18:10:00,campus,49.7,18:10:00,2021-10-13
484,2021-10-13T18:20:00,campus,49.7,18:20:00,2021-10-13
494,2021-10-13T18:30:00,campus,49.2,18:30:00,2021-10-13
504,2021-10-13T18:40:00,campus,48.9,18:40:00,2021-10-13
514,2021-10-13T18:50:00,campus,48.5,18:50:00,2021-10-13
524,2021-10-13T19:00:00,campus,48.4,19:00:00,2021-10-13
534,2021-10-13T19:10:00,campus,48.2,19:10:00,2021-10-13
544,2021-10-13T19:20:00,campus,48.0,19:20:00,2021-10-13
554,2021-10-13T19:30:00,campus,48.0,19:30:00,2021-10-13
564,2021-10-13T19:40:00,campus,47.9,19:40:00,2021-10-13
574,2021-10-13T19:50:00,campus,47.9,19:50:00,2021-10-13
584,2021-10-13T20:00:00,campus,47.8,20:00:00,2021-10-13
594,2021-10-13T20:10:00,campus,47.8,20:10:00,2021-10-13
604,2021-10-13T20:20:00,campus,47.8,20:20:00,2021-10-13
614,2021-10-13T20:30:00,campus,48.0,20:30:00,2021-10-13
624,2021-10-13T20:40:00,campus,47.8,20:40:00,2021-10-13
634,2021-10-13T20:50:00,campus,47.9,20:50:00,2021-10-13
644,2021-10-13T21:00:00,campus,47.3,21:00:00,2021-10-13
654,2021-10-13T21:10:00,campus,46.4,21:10:00,2021-10-13
664,2021-10-13T21:20:00,campus,45.4,21:20:00,2021-10-13
674,2021-10-13T21:30:00,campus,44.8,21:30:00,2021-10-13
684,2021-10-13T21:40:00,campus,44.6,21:40:00,2021-10-13
694,2021-10-13T21:50:00,campus,44.6,21:50:00,2021-10-13
704,2021-10-13T22:00:00,campus,44.1,22:00:00,2021-10-13
714,2021-10-13T22:10:00,campus,42.6,22:10:00,2021-10-13
724,2021-10-13T22:20:00,campus,40.9,22:20:00,2021-10-13
734,2021-10-13T22:30:00,campus,39.7,22:30:00,2021-10-13
744,2021-10-13T22:40:00,campus,39.4,22:40:00,2021-10-13
754,2021-10-13T22:50:00,campus,39.1,22:50:00,2021-10-13
764,2021-10-13T23:00:00,campus,38.4,23:00:00,2021-10-13
774,2021-10-13T23:10:00,campus,38.0,23:10:00,2021-10-13
784,2021-10-13T23:20:00,campus,37.6,23:20:00,2021-10-13
794,2021-10-13T23:30:00,campus,37.3,23:30:00,2021-10-13
804,2021-10-13T23:40:00,campus,37.1,23:40:00,2021-10-13
814,2021-10-13T23:50:00,campus,36.6,23:50:00,2021-10-13
824,2021-10-14T00:00:00,campus,36.2,00:00:00,2021-10-14
834,2021-10-14T00:10:00,campus,35.6,00:10:00,2021-10-14
844,2021-10-14T00:20:00,campus,35.5,00:20:00,2021-10-14
854,2021-10-14T00:30:00,campus,35.2,00:30:00,2021-10-14
864,2021-10-14T00:40:00,campus,34.7,00:40:00,2021-10-14
874,2021-10-14T00:50:00,campus,34.2,00:50:00,2021-10-14
884,2021-10-14T01:00:00,campus,33.8,01:00:00,2021-10-14
894,2021-10-14T01:10:00,campus,33.4,01:10:00,2021-10-14
904,2021-10-14T01:20:00,campus,32.5,01:20:00,2021-10-14
914,2021-10-14T01:30:00,campus,31.7,01:30:00,2021-10-14
924,2021-10-14T01:40:00,campus,30.9,01:40:00,2021-10-14
934,2021-10-14T01:50:00,campus,30.1,01:50:00,2021-10-14
944,2021-10-14T02:00:00,campus,29.7,02:00:00,2021-10-14
954,2021-10-14T02:10:00,campus,30.1,02:10:00,2021-10-14
964,2021-10-14T02:20:00,campus,30.6,02:20:00,2021-10-14
974,2021-10-14T02:30:00,campus,30.5,02:30:00,2021-10-14
984,2021-10-14T02:40:00,campus,30.3,02:40:00,2021-10-14
994,2021-10-14T02:50:00,campus,30.3,02:50:00,2021-10-14
1004,2021-10-14T03:00:00,campus,30.5,03:00:00,2021-10-14
1014,2021-10-14T03:10:00,campus,30.5,03:10:00,2021-10-14
1024,2021-10-14T03:20:00,campus,30.6,03:20:00,2021-10-14
1034,2021-10-14T03:30:00,campus,30.8,03:30:00,2021-10-14
1044,2021-10-14T03:40:00,campus,30.6,03:40:00,2021-10-14
1054,2021-10-14T03:50:00,campus,30.3,03:50:00,2021-10-14
1064,2021-10-14T04:00:00,campus,30.6,04:00:00,2021-10-14
1074,2021-10-14T04:10:00,campus,31.1,04:10:00,2021-10-14
1084,2021-10-14T04:20:00,campus,31.7,04:20:00,2021-10-14
1094,2021-10-14T04:30:00,campus,31.9,04:30:00,2021-10-14
1104,2021-10-14T04:40:00,campus,32.4,04:40:00,2021-10-14
1114,2021-10-14T04:50:00,campus,32.8,04:50:00,2021-10-14
1124,2021-10-14T05:00:00,campus,32.6,05:00:00,2021-10-14
1134,2021-10-14T05:10:00,campus,32.3,05:10:00,2021-10-14
1144,2021-10-14T05:20:00,campus,33.1,05:20:00,2021-10-14
1154,2021-10-14T05:30:00,campus,34.3,05:30:00,2021-10-14
1164,2021-10-14T05:40:00,campus,34.9,05:40:00,2021-10-14
1174,2021-10-14T05:50:00,campus,34.8,05:50:00,2021-10-14
1184,2021-10-14T06:00:00,campus,35.6,06:00:00,2021-10-14
1194,2021-10-14T06:10:00,campus,37.0,06:10:00,2021-10-14
1204,2021-10-14T06:20:00,campus,37.8,06:20:00,2021-10-14
1214,2021-10-14T06:30:00,campus,37.6,06:30:00,2021-10-14
1224,2021-10-14T06:40:00,campus,37.9,06:40:00,2021-10-14
1234,2021-10-14T06:50:00,campus,39.0,06:50:00,2021-10-14
1244,2021-10-14T07:00:00,campus,40.0,07:00:00,2021-10-14
1254,2021-10-14T07:10:00,campus,40.8,07:10:00,2021-10-14
1264,2021-10-14T07:20:00,campus,40.8,07:20:00,2021-10-14
1274,2021-10-14T07:30:00,campus,41.4,07:30:00,2021-10-14
1284,2021-10-14T07:40:00,campus,41.6,07:40:00,2021-10-14
1294,2021-10-14T07:50:00,campus,42.4,07:50:00,2021-10-14
1304,2021-10-14T08:00:00,campus,43.0,08:00:00,2021-10-14
1314,2021-10-14T08:10:00,campus,43.3,08:10:00,2021-10-14
1324,2021-10-14T08:20:00,campus,43.1,08:20:00,2021-10-14
1334,2021-10-14T08:30:00,campus,42.7,08:30:00,2021-10-14
1344,2021-10-14T08:40:00,campus,43.1,08:40:00,2021-10-14
1354,2021-10-14T08:50:00,campus,44.0,08:50:00,2021-10-14
1364,2021-10-14T09:00:00,campus,44.5,09:00:00,2021-10-14
1374,2021-10-14T09:10:00,campus,44.9,09:10:00,2021-10-14
1384,2021-10-14T09:20:00,campus,45.1,09:20:00,2021-10-14
1394,2021-10-14T09:30:00,campus,45.8,09:30:00,2021-10-14
1404,2021-10-14T09:40:00,campus,46.1,09:40:00,2021-10-14
1414,2021-10-14T09:50:00,campus,46.6,09:50:00,2021-10-14
1424,2021-10-14T10:00:00,campus,46.8,10:00:00,2021-10-14
1434,2021-10-14T10:10:00,campus,47.7,10:10:00,2021-10-14
1444,2021-10-14T10:20:00,campus,48.1,10:20:00,2021-10-14
1454,2021-10-14T10:30:00,campus,48.7,10:30:00,2021-10-14
1464,2021-10-14T10:40:00,campus,48.5,10:40:00,2021-10-14
1474,2021-10-14T10:50:00,campus,49.0,10:50:00,2021-10-14
1484,2021-10-14T11:00:00,campus,49.3,11:00:00,2021-10-14
1494,2021-10-14T11:10:00,campus,50.1,11:10:00,2021-10-14
1504,2021-10-14T11:20:00,campus,50.7,11:20:00,2021-10-14
1514,2021-10-14T11:30:00,campus,51.4,11:30:00,2021-10-14
1524,2021-10-14T11:40:00,campus,51.6,11:40:00,2021-10-14
1534,2021-10-14T11:50:00,campus,51.8,11:50:00,2021-10-14
1544,2021-10-14T12:00:00,campus,52.1,12:00:00,2021-10-14
1554,2021-10-14T12:10:00,campus,52.4,12:10:00,2021-10-14
1564,2021-10-14T12:20:00,campus,52.2,12:20:00,2021-10-14
1574,2021-10-14T12:30:00,campus,51.9,12:30:00,2021-10-14
1584,2021-10-14T12:40:00,campus,51.4,12:40:00,2021-10-14
1594,2021-10-14T12:50:00,campus,51.2,12:50:00,2021-10-14
1604,2021-10-14T13:00:00,campus,51.3,13:00:00,2021-10-14
1614,2021-10-14T13:10:00,campus,51.5,13:10:00,2021-10-14
1624,2021-10-14T13:20:00,campus,51.9,13:20:00,2021-10-14
1634,2021-10-14T13:30:00,campus,52.0,13:30:00,2021-10-14
1644,2021-10-14T13:40:00,campus,52.6,13:40:00,2021-10-14
1654,2021-10-14T13:50:00,campus,52.5,13:50:00,2021-10-14
1664,2021-10-14T14:00:00,campus,52.8,14:00:00,2021-10-14
1674,2021-10-14T14:10:00,campus,52.4,14:10:00,2021-10-14
1684,2021-10-14T14:20:00,campus,52.3,14:20:00,2021-10-14
1694,2021-10-14T14:30:00,campus,52.0,14:30:00,2021-10-14
1704,2021-10-14T14:40:00,campus,51.9,14:40:00,2021-10-14
1714,2021-10-14T14:50:00,campus,52.2,14:50:00,2021-10-14
1724,2021-10-14T15:00:00,campus,52.4,15:00:00,2021-10-14
1734,2021-10-14T15:10:00,campus,52.8,15:10:00,2021-10-14
1744,2021-10-14T15:20:00,campus,52.9,15:20:00,2021-10-14
1754,2021-10-14T15:30:00,campus,53.0,15:30:00,2021-10-14
1764,2021-10-14T15:40:00,campus,53.0,15:40:00,2021-10-14
1774,2021-10-14T15:50:00,campus,52.7,15:50:00,2021-10-14
1784,2021-10-14T16:00:00,campus,52.4,16:00:00,2021-10-14
1794,2021-10-14T16:10:00,campus,52.5,16:10:00,2021-10-14
1804,2021-10-14T16:20:00,campus,52.9,16:20:00,2021-10-14
1814,2021-10-14T16:30:00,campus,53.1,16:30:00,2021-10-14
1824,2021-10-14T16:40:00,campus,53.3,16:40:00,2021-10-14
1834,2021-10-14T16:50:00,campus,53.0,16:50:00,2021-10-14
1844,2021-10-14T17:00:00,campus,52.8,17:00:00,2021-10-14
1854,2021-10-14T17:10:00,campus,52.6,17:10:00,2021-10-14
1864,2021-10-14T17:20:00,campus,52.8,17:20:00,2021-10-14
1874,2021-10-14T17:30:00,campus,53.1,17:30:00,2021-10-14
